1948;1;ѓоворЯщий2;ѓЋ‚Ћђџ™€‰2;NONLEX;3;;;й;и;щ;Я;р;NONLEX;ѓЋ‚Ћђџ™€‰2;NONLEX
1949;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
1950;3;•оть;•Ћ’њ;PART;;;ь;т;о;х;;;PART;•Ћ’њ;PART
1951;4;менЯ;џ;SPRO sg 1p - acc;;;Я;н;е;м;;;SPRO;џ;SPRO sg 1p - acc
1952;5;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
1953;6;попросили;ЏЋЏђЋ‘€’њ;V pf praet pl indic 3p;;;и;л;и;с;о;р;V;ЏЋЏђЋ‘€’њ;V pf praet pl indic - -
1954;7;дать;„Ђ’њ;V pf - - inf - -;;;ь;т;а;д;;;V;„Ђ’њ;V pf - - inf - -
1955;8;некое;Ќ…Љ€‰;A - acc sg plen n inan;;;е;о;к;е;н;;A;Ќ…Љ€‰;A - acc sg plen n inan
1956;9;интервью;€Ќ’…ђ‚њћ;S n inan sg acc 2p;;;ю;ь;в;р;е;т;S;€Ќ’…ђ‚њћ;S n inan nonflex nonflex
1957;10;аж;Ђ†;PART;;;ж;а;;;;;PART;Ђ†;PART
1958;11;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR
1959;12;целых;–…‹›‰;A - acc pl plen - anim;;;х;ы;л;е;ц;;A;–…‹›‰;A - acc pl plen - anim
1960;13;пЯть;Џџ’њ;NUM acc ;;;ь;т;Я;п;;;NUM;Џџ’њ;NUM acc - -
1961;14;минут;Њ€Ќ“’Ђ;S f inan gen pl 1p;;;т;у;н;и;м;;S;Њ€Ќ“’Ђ;S f inan gen pl
1962;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
1963;16;по;ЏЋ;PR;;;о;п;;;;;PR;ЏЋ;PR
1964;17;моему;ЊЋ‰;A - dat sg plen ;;;у;м;е;о;м;;A;ЊЋ‰;A - dat sg plen n -
1965;18;опыту;ЋЏ›’;S m inan dat sg 2p;;;у;т;ы;п;о;;S;ЋЏ›’;S m inan dat sg
1966;19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
1967;20;чтобы;—’ЋЃ›;CONJ;;;ы;б;о;т;ч;;CONJ;—’ЋЃ›;CONJ
1968;21;снЯть;‘Ќџ’њ;V pf - - inf - -;;;ь;т;Я;н;с;;V;‘Ќџ’њ;V pf - - inf - -
1969;22;пЯть;Џџ’њ;NUM acc ;;;ь;т;Я;п;;;NUM;Џџ’њ;NUM acc - -
1970;23;минут;Њ€Ќ“’Ђ;S f inan gen pl;;;т;у;н;и;м;;S;Њ€Ќ“’Ђ;S f inan gen pl
1971;24;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
1972;25;это;ќ’Ћ;S n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg
1973;26;,;,;SENT;;;;;;;;;SENT;,;SENT
1974;;;;;;;;;;;;;;;
1975;1;требуетсЯ;’ђ…ЃЋ‚Ђ’њ‘џ;V ipf praes sg indic tran 3p;;;Я;с;т;е;у;б;V;’ђ…ЃЋ‚Ђ’њ‘џ;V ipf praes sg indic - 3p
1976;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
1977;3;наверное;ЌЂ‚…ђЌЋ…;PARENCE;;;е;о;н;р;е;в;ADV;ЌЂ‚…ђЌЋ…;ADV -
1978;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
1979;5;полднЯ;ЏЋ‹„Ќџ;S m inan gen sg;;;Я;н;д;л;о;п;S;ЏЋ‹„Ќџ;S m inan gen sg
1980;6;провести;ЏђЋ‚…‘’€;V pf tran  inf;;;и;т;с;е;в;о;V;ЏђЋ‚…‘’€;V pf - - inf - -
1981;7;в;‚;PR;;;в;;;;;;PR;‚;PR
1982;8;съЮмках;‘љ…ЊЉЂ;S f inan loc pl;;;х;а;к;м;Ю;ъ;S;‘љ…ЊЉЂ;S f inan loc pl
1983;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
1984;10;но;ЌЋ;CONJ;;;о;н;;;;;CONJ;ЌЋ;CONJ
1985;11;тем не менее;тем не менее;PARENCE;;;е;е;н;е;м; ;-;тем не менее;-
1986;12;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
1987;13;готов;ѓЋ’Ћ‚›‰;A - - sg brev m -;;;в;о;т;о;г;;A;ѓЋ’Ћ‚›‰;A - - sg brev m -
1988;14;помочь;ЏЋЊЋ—њ;S f inan acc sg;;;ь;ч;о;м;о;п;S;ЏЋЊЋ—њ;S f inan acc sg
1989;15;выполнить;‚›ЏЋ‹Ќ€’њ;V pf - - inf tran;;;ь;т;и;н;л;о;V;‚›ЏЋ‹Ќ€’њ;V pf - - inf - -
1990;16;это;ќ’Ћ’;A - acc sg plen n -;;;о;т;э;;;;A;ќ’Ћ’;A - acc sg plen n -
1991;17;задание;‡Ђ„ЂЌ€…;S n inan acc sg 2р;;;е;и;н;а;д;а;S;‡Ђ„ЂЌ€…;S n inan acc sg
1992;18;,;,;SENT;;;;;;;;;SENT;,;SENT
1993;;;;;;;;;;;;;;;
